Group,Code,en
Admin Xlations,Admin.Cust_Search.MSF,Max stake factor
Admin Xlations,Admin.Cust_Search.REG_DATE,Registered between
Admin Xlations,Admin.EVENT_STATUS_ACTIVE,Active
Admin Xlations,Admin.EVENT_STATUS_SUSP,Suspended
Admin Xlations,Admin.EXACT,exact
Admin Xlations,Admin.Man_Adj.AMOUNT,Amount
Admin Xlations,Admin.Man_Adj.BET_STKE,Bet stakes
Admin Xlations,Admin.Man_Adj.BOOKMAKER_ACCT,Bookmaker Account
Admin Xlations,Admin.Man_Adj.CASH_DEP_WTD,Cash (deposits/withdrawals)
Admin Xlations,Admin.Man_Adj.CUST_ACCT_ADJ,Customer account adjustment
Admin Xlations,Admin.Man_Adj.DATE_RANGE,Date Range
Admin Xlations,Admin.Man_Adj.DESCRIPTION,Description
Admin Xlations,Admin.Man_Adj.DO_MAN_ADJ_BUTTON,Do Manual Adjustment
Admin Xlations,Admin.Man_Adj.MANUAL_ADJUSTMENT,Manual Adjustment
Admin Xlations,Admin.Man_Adj.OPERATOR_NOTES,Operator Notes
Admin Xlations,Admin.Man_Adj.TYPE,Type
Admin Xlations,Admin.Man_Adj.VIEW_MAN_ADJ_BUTTON,View Manual Adjustments
Admin Xlations,Admin.Man_Adj.WITHDRAWABLE,Withdrawable
Admin Xlations,Admin.NEXT_BUTTON,Next
Admin Xlations,Admin.Open_Tok_List.EXPIRY_DATETIME,Expiry Date & Time
Admin Xlations,Admin.Open_Tok_List.OFFER_NAME,Offer Name
Admin Xlations,Admin.Open_Tok_List.POSSIBLE_BETS,Possible Bets
Admin Xlations,Admin.Open_Tok_List.REDEMPTION_AMOUNT,Redemption Amount
Admin Xlations,Admin.Open_Tok_List.TITLE,Free Token List - Open
Admin Xlations,Admin.PREVIOUS_BUTTON,Previous
Admin Xlations,Admin.Redeem_Tok_List.ID,ID
Admin Xlations,Admin.Redeem_Tok_List.REDEMPTION_AMOUNT,Redemption Amount
Admin Xlations,Admin.Redeem_Tok_List.REDEMPTION_DATE,Redemption Date
Admin Xlations,Admin.Redeem_Tok_List.TITLE,Free Token List - Redeemed
Admin Xlations,Admin.Txn_List.ACCT_CCY,Account Currency
Admin Xlations,Admin.Txn_List.ACCT_NO,Acct No
Admin Xlations,Admin.Txn_List.AMOUNT,Amount
Admin Xlations,Admin.Txn_List.BALANCE,Balance
Admin Xlations,Admin.Txn_List.CUSTOMER_BUTTON,Customer
Admin Xlations,Admin.Txn_List.CUST_TXN_HISTORY,Customer transaction history
Admin Xlations,Admin.Txn_List.DATE,Date
Admin Xlations,Admin.Txn_List.NEW_SEARCH_BUTTON,New Search
Admin Xlations,Admin.Txn_List.TXN_DESCRIPTION,Description
Admin Xlations,Admin.Txn_List.TXN_SORT,Sort
Admin Xlations,Admin.Txn_List.USERNAME,Username
Admin Xlations,Admin.Txn_Query.ACCT_NO,Acct No
Admin Xlations,Admin.Txn_Query.DAILY_TOTALS_BUTTON,Daily Totals
Admin Xlations,Admin.Txn_Query.DATE_RANGE,Date Range
Admin Xlations,Admin.Txn_Query.LIST_TXN_BUTTON,List transactions
Admin Xlations,Admin.Txn_Query.TXNS_PER_PAGE,Transactions per page
Admin Xlations,Admin.Txn_Query.TXN_TYPE,Transaction Type
Admin Xlations,Admin.Txn_Query.USERNAME,Username
Admin Xlations,Admin.VIEW_AUDIT_HIST_BUTTON,View Audit History
Admin Xlations,Admin.VIEW_EXT_ID_AUDIT_BUTTON,View ExtId Audit History
Admin Xlations,Either,Either
Admin Xlations,In the last 3 days,In the last 3 days
Admin Xlations,In the last Week,In the last Week
Admin Xlations,Last 3 Days,Last 3 Days
Admin Xlations,Last 7 Days,Last 7 Days
Admin Xlations,Last Month,Last Month
Admin Xlations,Lose,Lose
Admin Xlations,MADJ_TYPE_DESC_AFF,Affiliate Payments
Admin Xlations,MADJ_TYPE_DESC_BNKC,Bank Charges
Admin Xlations,MADJ_TYPE_DESC_CADJ,Commission Adjustments
Admin Xlations,MADJ_TYPE_DESC_CSH,Cash Adjustments
Admin Xlations,MADJ_TYPE_DESC_GWIL,Gesture of Goodwill
Admin Xlations,MADJ_TYPE_DESC_LFND,Lost/Trapped Funds
Admin Xlations,MADJ_TYPE_DESC_WOFF,Write Off
Admin Xlations,N/A,N/A
Admin Xlations,No,No
Admin Xlations,Please Specify,Please Specify
Admin Xlations,So Far this Month,So Far this Month
Admin Xlations,So Far this Year,So Far this Year
Admin Xlations,Today,Today
Admin Xlations,Void,Void
Admin Xlations,Win,Win
Admin Xlations,Yes,Yes
Admin Xlations,Yesterday,Yesterday
Admin Xlations,and,and
Admin Xlations,between,between
Admin Xlations,is,is
Admin Xlations,is from,is from
Admin Xlations,is not,is not
Admin Xlations,is not from,is not from
Admin Xlations,or,or
Admin Xlations,to,to
Admin Xlations,Admin.Bet_Search.FAILED_BET_SEARCH_CRITERIA,Failed Bet Search Criteria
Admin Xlations,Admin.Bet_Search.FAILED_BET_DETAILS,Failed Bet Details
Admin Xlations,Admin.SEO.ADD_BUTTON,Add
Admin Xlations,Admin.SEO.BACK_BUTTON,Back
Admin Xlations,Admin.SEO.CURRENT_TAG_LEVEL,Current tag level
Admin Xlations,Admin.SEO.DEFAULT_TAG,Default Tags
Admin Xlations,Admin.SEO.DELETE_TAG_BUTTON,Delete Tag
Admin Xlations,Admin.SEO.GLOBAL_DEFAULTS,Global Defaults
Admin Xlations,Admin.SEO.GLOBAL_DEFAULTS_DESC," - <i>Contains a full set of default tags for Coupons, Campaigns and the entire hierarchy</i>"
Admin Xlations,Admin.SEO.GO_BUTTON,Go
Admin Xlations,Admin.SEO.GO_SPECIFIC,Go To Specific
Admin Xlations,Admin.SEO.HOMEPAGE,Homepage
Admin Xlations,Admin.SEO.HOME_PAGE,Homepage
Admin Xlations,Admin.SEO.HOME_PAGE_TAGS,Home Page tags
Admin Xlations,Admin.SEO.ID,ID =
Admin Xlations,Admin.SEO.INVALID_SELECTION,Invalid Selection
Admin Xlations,Admin.SEO.META_DESC,Description
Admin Xlations,Admin.SEO.META_DKIS,DKIs
Admin Xlations,Admin.SEO.META_DKI_OPTIONAL_TAGS,Optional Tags
Admin Xlations,Admin.SEO.META_DKI_TAG,<i>Double-Click to add<br>a DKI to the tag</i>
